"Performer","Album","Title","Score","Length","Deleted","Favorite"
"Bloodhound Gang","Hooray for Boobies","The Inevitable Return of the Great White Dope","0","4:02","",""
"Bloodhound Gang","One Fierce Beer Coaster","Fire Water Burn","5","4:52","","Да"
"Blue System","Body Heat","Love Suite","5","3:20","","Да"
"Blue System","The History Of Blue System","Under My Skin (Radio Version)","5","3:32","","Да"
"Blur","Midlife: A Beginner's Guide To Blur","Tender","5","7:41","","Да"
"Bob Brookmeyer","The Girls From Ipanema: Best of Bossa Nova","A Felicidade","0","3:16","",""
"Bob Brookmeyer","The Girls From Ipanema: Best of Bossa Nova","Samba De Orfeo","0","4:09","",""
"Bob James","70s Super Hits","Angela (Theme from 'Taxi')","0","5:45","",""
"Bob Sheridan Orchestra","Cine del Oeste","Tema Central (De &quot;El Gran Chaparral&quot;)","5","2:44","","Да"
"Bobby Darin","Ultra-Lounge / Wild, Cool & Swingin' Volume Five","Sunday In New York (Digitally Remastered 96)","0","2:30","",""
"Bobby Hackett; Billy Butterfield","The Girls From Ipanema: Best of Bossa Nova","Nunca Me Deixes","0","2:34","",""
"Bobby Vee","Bobby Vee","Run to Him","0","2:09","",""
"Bomb the Bass","Pure... Electronic 80s","Beat Dis","0","3:23","",""
"Bomfunk MC's","Burnin' Sneakers","We R Atomic","5","4:02","","Да"
"Bomfunk MC's","In Stereo","Freestyle Project (Electric Reality)","5","3:48","","Да"
"Bomfunk MC's","Super Electric","Super Electric (Radio Edit)","5","3:38","","Да"
"Bominique de Marcis","","Il Postino","0","4:33","",""
"Bon Jovi","Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe)","Livin' On A Prayer","5","4:10","","Да"
"Bon Jovi","New Jersey (Deluxe Edition)","Bad Medicine","5","5:16","","Да"
"Boney M.","Eye Dance","My Cherie Amour","5","4:05","","Да"
"Boney M.","Eye Dance","My Cherie Amour","5","4:06","",""
"Boney M.","Eye Dance","Sample City","5","3:43","","Да"
"Boney M.","Eye Dance","Young, Free and Single","5","4:14","","Да"
"Boney M. 2000","20th Century Hits","Caribbean Nightfever - Megamix (106 BPM)","5","4:34","","Да"
"Booker T. & The M.G.'s","The Best Of","The Horse","5","2:44","","Да"
"Booker T. & The MG's","Green Onions","Green Onions","0","2:56","",""
"Booker T. & The MG's","The Very Best Of Booker T. & The MG's","Hang 'Em High","5","3:57","","Да"
"Boz Scaggs","Hits!","Lido Shuffle","0","3:44","",""
"Brian May","The Platinum Collection (Greatest Hits I, II & III)","Driven by You","0","4:10","",""
"Brother Cleve & His Lush Orchestra","Music to Watch Comets By","Dreamsville","5","5:44","","Да"
"Brotherhood of Man","The Definitive Collection","Save Your Kisses For Me","5","3:03","","Да"
"Buddhism Academy","Asian Traditional Zen Music (Best Instrumental Chinese Sounds, Oriental Music Collection, Reiki, Buddha Relaxation Lounge, Spiritual Healing)","Asian Traditional Zen Music","0","3:11","",""
"Buddhism Academy","Asian Traditional Zen Music (Best Instrumental Chinese Sounds, Oriental Music Collection, Reiki, Buddha Relaxation Lounge, Spiritual Healing)","Chinese Ruan","0","3:26","",""
"Buddhism Academy","Asian Traditional Zen Music (Best Instrumental Chinese Sounds, Oriental Music Collection, Reiki, Buddha Relaxation Lounge, Spiritual Healing)","Oriental Melody for Morning Mantra","0","3:28","",""
"Buddhism Academy","Asian Traditional Zen Music (Best Instrumental Chinese Sounds, Oriental Music Collection, Reiki, Buddha Relaxation Lounge, Spiritual Healing)","Reiki Healing Therapy","0","3:38","",""
"Bullmark","Interstate '76","Malochio Down","5","0:59","","Да"
"Bullmark","Interstate '76","Revenge Rocco Style","5","2:46","","Да"
